study_name,cpt,wrvu,category,source
Fluoro Guidance Spine Injection,77003,0.59,GUIDANCE,orbit_cme_seed
CT Guidance Localization,77011,1.18,GUIDANCE,orbit_cme_seed
CT Guidance Biopsy,77012,1.46,GUIDANCE,orbit_cme_seed
CT Guidance Ablation,77013,3.89,GUIDANCE,orbit_cme_seed
MRI Guidance Needle Localization,77021,1.46,GUIDANCE,orbit_cme_seed
MRI Guidance Tissue Ablation,77022,4.13,GUIDANCE,orbit_cme_seed
Aortogram Abdominal,75625,1.40,ANGIO,orbit_cme_seed
Aortogram w/ LE Runoff,75630,1.95,ANGIO,orbit_cme_seed
Arteriogram Extremity,75710,1.71,ANGIO,orbit_cme_seed
Arteriogram Bilateral,75716,1.92,ANGIO,orbit_cme_seed
Visceral Arteriogram,75726,2.00,ANGIO,orbit_cme_seed
Arteriogram Adrenal,75731,1.11,ANGIO,orbit_cme_seed
Arteriogram Renal,75733,1.28,ANGIO,orbit_cme_seed
Arteriogram Pelvic,75736,1.11,ANGIO,orbit_cme_seed
Arteriogram Pulmonary Unilateral,75741,1.28,ANGIO,orbit_cme_seed
Arteriogram Pulmonary Bilateral,75743,1.62,ANGIO,orbit_cme_seed
Arteriogram Pulmonary Follow-Up,75746,1.11,ANGIO,orbit_cme_seed
Arteriogram Internal Mammary,75756,1.11,ANGIO,orbit_cme_seed
Arteriogram Addl Vessel,75774,0.98,ANGIO,orbit_cme_seed
Venogram Extremity,75820,1.02,VENOUS,orbit_cme_seed
Venogram Bilateral,75822,1.44,VENOUS,orbit_cme_seed
Venogram Inferior Vena Cava,75825,1.11,VENOUS,orbit_cme_seed
Venogram Superior Vena Cava,75827,1.11,VENOUS,orbit_cme_seed
Venogram Renal Unilateral,75831,1.11,VENOUS,orbit_cme_seed
Venogram Renal Bilateral,75833,1.45,VENOUS,orbit_cme_seed
Venogram Adrenal Unilateral,75840,1.11,VENOUS,orbit_cme_seed
Venogram Sagittal Sinus,75860,1.11,VENOUS,orbit_cme_seed
Venogram Superior Sagittal Sinus,75870,1.11,VENOUS,orbit_cme_seed
Venogram Epidural,75872,1.11,VENOUS,orbit_cme_seed
Venogram Orbital,75880,0.68,VENOUS,orbit_cme_seed
Venogram Hepatic w/ Wedge Pressure,75891,1.11,VENOUS,orbit_cme_seed
Venogram Hepatic w/ Hemodynamics,75893,0.53,VENOUS,orbit_cme_seed
Transcatheter Therapy Imaging,75894,2.19,IR,orbit_cme_seed
Follow-Up Angiography,75898,1.80,IR,orbit_cme_seed
Mechanical Thrombectomy Imaging 1st,75901,0.48,IR,orbit_cme_seed
Mechanical Thrombectomy Imaging Addl,75902,0.38,IR,orbit_cme_seed
Catheter Change Fluoro,75984,0.81,IR,orbit_cme_seed
Abscess Drainage Fluoro,75989,1.16,IR,orbit_cme_seed
Balloon Occlusion Head/Neck,61623,9.70,NEURO IR,orbit_cme_seed
Embolization CNS,61624,19.50,NEURO IR,orbit_cme_seed
Embolization Non-CNS,61626,14.93,NEURO IR,orbit_cme_seed
Intracranial Angioplasty,61630,21.52,NEURO IR,orbit_cme_seed
Intracranial Angioplasty w/ Stent,61635,23.67,NEURO IR,orbit_cme_seed
IC Vasospasm Treatment Initial,61640,12.32,NEURO IR,orbit_cme_seed
IC Vasospasm Treatment Addl Same Territory,61641,4.33,NEURO IR,orbit_cme_seed
IC Vasospasm Treatment Addl Diff Territory,61642,8.66,NEURO IR,orbit_cme_seed
IC Mechanical Thrombectomy,61645,14.63,NEURO IR,orbit_cme_seed
IC Prolonged Drug Admin 1st,61650,9.75,NEURO IR,orbit_cme_seed
IC Prolonged Drug Admin Addl,61651,4.14,NEURO IR,orbit_cme_seed
Arterial Puncture,36100,2.94,ARTERIAL ACCESS,orbit_cme_seed
Arterial Puncture Upper/Lower Ext,36140,1.72,ARTERIAL ACCESS,orbit_cme_seed
Aortic Puncture,36160,2.46,ARTERIAL ACCESS,orbit_cme_seed
Catheter Placement Aorta,36200,2.70,ARTERIAL ACCESS,orbit_cme_seed
Selective Catheter 1st Order,36215,4.07,ARTERIAL CATH,orbit_cme_seed
Selective Catheter 2nd Order,36216,5.14,ARTERIAL CATH,orbit_cme_seed
Selective Catheter 3rd Order,36217,6.13,ARTERIAL CATH,orbit_cme_seed
Selective Catheter Each Addl,36218,0.98,ARTERIAL CATH,orbit_cme_seed
Selective Catheter Abd/LE 1st Order,36245,4.53,ARTERIAL CATH,orbit_cme_seed
Selective Catheter Abd/LE 2nd Order,36246,4.89,ARTERIAL CATH,orbit_cme_seed
Selective Catheter Abd/LE 3rd Order,36247,5.89,ARTERIAL CATH,orbit_cme_seed
Selective Catheter Abd/LE Addl,36248,0.98,ARTERIAL CATH,orbit_cme_seed
Selective Renal Cath Unilateral,36251,4.97,ARTERIAL CATH,orbit_cme_seed
Selective Renal Cath Bilateral,36252,6.57,ARTERIAL CATH,orbit_cme_seed
Selective Renal Cath Super-Selective Uni,36253,7.12,ARTERIAL CATH,orbit_cme_seed
Selective Renal Cath Super-Selective Bi,36254,7.70,ARTERIAL CATH,orbit_cme_seed
Venous Catheter 1st Order,36010,2.13,VENOUS ACCESS,orbit_cme_seed
Venous Catheter 2nd Order,36011,3.06,VENOUS ACCESS,orbit_cme_seed
Venous Catheter Beyond 2nd Order,36012,3.42,VENOUS ACCESS,orbit_cme_seed
Non-Tunneled CVC <5yr,36555,1.88,CENTRAL LINES,orbit_cme_seed
Non-Tunneled CVC 5yr+,36556,1.71,CENTRAL LINES,orbit_cme_seed
Tunneled CVC <5yr,36557,4.77,CENTRAL LINES,orbit_cme_seed
Tunneled CVC 5yr+,36558,4.48,CENTRAL LINES,orbit_cme_seed
PICC <5yr w/o Imaging,36568,2.06,CENTRAL LINES,orbit_cme_seed
PICC 5yr+ w/o Imaging,36569,1.85,CENTRAL LINES,orbit_cme_seed
PICC w/ Port <5yr,36570,4.98,CENTRAL LINES,orbit_cme_seed
PICC w/ Port 5yr+,36571,4.96,CENTRAL LINES,orbit_cme_seed
Replace CVAD Catheter Only,36580,1.28,CENTRAL LINES,orbit_cme_seed
Replace Tunneled CVC,36581,3.15,CENTRAL LINES,orbit_cme_seed
Replace Tunneled CVC w/ Port,36582,4.87,CENTRAL LINES,orbit_cme_seed
Replace Tunneled CVC w/ Port (Separate Site),36583,4.91,CENTRAL LINES,orbit_cme_seed
Replace PICC,36584,1.17,CENTRAL LINES,orbit_cme_seed
Replace PICC w/ Port,36585,4.48,CENTRAL LINES,orbit_cme_seed
Remove Tunneled CVC,36589,2.22,CENTRAL LINES,orbit_cme_seed
Remove Tunneled CVC w/ Port,36590,3.02,CENTRAL LINES,orbit_cme_seed
Mechanical Thrombectomy Arterial 1st,37184,8.20,THROMBECTOMY,orbit_cme_seed
Mechanical Thrombectomy Arterial Addl,37185,3.20,THROMBECTOMY,orbit_cme_seed
Secondary Thrombectomy,37186,4.80,THROMBECTOMY,orbit_cme_seed
Mechanical Thrombectomy Venous,37187,7.59,THROMBECTOMY,orbit_cme_seed
Mechanical Thrombectomy Venous Addl,37188,5.32,THROMBECTOMY,orbit_cme_seed
Thrombolysis Arterial Initial,37211,7.56,THROMBOLYSIS,orbit_cme_seed
Thrombolysis Venous Initial,37212,6.64,THROMBOLYSIS,orbit_cme_seed
Thrombolysis Art/Ven Subsequent,37213,4.63,THROMBOLYSIS,orbit_cme_seed
Thrombolysis Cessation/Cath Removal,37214,2.43,THROMBOLYSIS,orbit_cme_seed
Embolization Venous,37241,8.53,EMBOLIZATION,orbit_cme_seed
Embolization Arterial,37242,9.56,EMBOLIZATION,orbit_cme_seed
Embolization Organ,37243,11.45,EMBOLIZATION,orbit_cme_seed
Embolization Hemorrhage,37244,13.41,EMBOLIZATION,orbit_cme_seed
Balloon Angioplasty Arterial 1st,37246,6.83,ANGIOPLASTY/STENT,orbit_cme_seed
Balloon Angioplasty Arterial Addl,37247,3.41,ANGIOPLASTY/STENT,orbit_cme_seed
Balloon Angioplasty Venous 1st,37248,5.85,ANGIOPLASTY/STENT,orbit_cme_seed
Balloon Angioplasty Venous Addl,37249,2.90,ANGIOPLASTY/STENT,orbit_cme_seed
Stent Placement 1st Artery,37236,8.53,ANGIOPLASTY/STENT,orbit_cme_seed
Stent Placement Addl Artery,37237,4.14,ANGIOPLASTY/STENT,orbit_cme_seed
Stent Placement 1st Same Vessel,37238,5.89,ANGIOPLASTY/STENT,orbit_cme_seed
Stent Placement Addl Same Vessel,37239,2.90,ANGIOPLASTY/STENT,orbit_cme_seed
IVC Filter Insertion,37191,4.35,IVC FILTER,orbit_cme_seed
IVC Filter Repositioning,37192,6.92,IVC FILTER,orbit_cme_seed
IVC Filter Retrieval,37193,6.92,IVC FILTER,orbit_cme_seed
Endovenous RF Ablation 1st Vein,36475,5.17,VEIN ABLATION,orbit_cme_seed
Endovenous RF Ablation Addl Vein,36476,2.58,VEIN ABLATION,orbit_cme_seed
Endovenous Laser Ablation 1st Vein,36478,5.17,VEIN ABLATION,orbit_cme_seed
Endovenous Laser Ablation Addl Vein,36479,2.58,VEIN ABLATION,orbit_cme_seed
Mechanochemical Ablation 1st Vein,36482,3.41,VEIN ABLATION,orbit_cme_seed
Mechanochemical Ablation Addl Vein,36483,1.71,VEIN ABLATION,orbit_cme_seed
Dialysis Circuit Catheterization,36901,3.28,DIALYSIS,orbit_cme_seed
Dialysis Circuit w/ Angioplasty,36902,4.71,DIALYSIS,orbit_cme_seed
Dialysis Circuit w/ Stent,36903,6.23,DIALYSIS,orbit_cme_seed
Dialysis Circuit Thrombectomy,36904,7.31,DIALYSIS,orbit_cme_seed
Dialysis Circuit Thrombectomy w/ Angioplasty,36905,8.78,DIALYSIS,orbit_cme_seed
Dialysis Circuit Thrombectomy w/ Stent,36906,10.16,DIALYSIS,orbit_cme_seed
TIPS Creation,37182,16.55,TIPS,orbit_cme_seed
TIPS Revision,37183,7.55,TIPS,orbit_cme_seed
TTE Congenital Complete,93303,1.27,TRANSTHORACIC,orbit_cme_seed
TTE Congenital Follow-Up,93304,0.73,TRANSTHORACIC,orbit_cme_seed
TTE w/ Doppler Complete,93306,1.42,TRANSTHORACIC,orbit_cme_seed
TTE w/o Doppler Complete,93307,0.90,TRANSTHORACIC,orbit_cme_seed
TTE Follow-Up / Limited,93308,0.52,TRANSTHORACIC,orbit_cme_seed
TEE Complete,93312,2.24,TRANSESOPHAGEAL,orbit_cme_seed
TEE w/ Probe,93314,1.80,TRANSESOPHAGEAL,orbit_cme_seed
TEE Congenital Complete,93315,2.62,TRANSESOPHAGEAL,orbit_cme_seed
TEE Congenital w/ Probe,93317,1.79,TRANSESOPHAGEAL,orbit_cme_seed
TEE Intraoperative,93318,2.10,TRANSESOPHAGEAL,orbit_cme_seed
Doppler Echo Complete,93320,0.37,DOPPLER,orbit_cme_seed
Doppler Echo Limited,93321,0.15,DOPPLER,orbit_cme_seed
Color Flow Doppler,93325,0.07,DOPPLER,orbit_cme_seed
Stress Echo Only,93350,1.42,STRESS,orbit_cme_seed
Stress Echo Complete,93351,1.71,STRESS,orbit_cme_seed
XR SI Joints 1-2 Views,72200,0.17,BONE/JOINT,orbit_cme_seed
XR SI Joints 3+ Views,72202,0.22,BONE/JOINT,orbit_cme_seed
XR Sacrum & Coccyx,72220,0.17,BONE/JOINT,orbit_cme_seed
Skeletal Survey Limited,77074,0.43,BONE SURVEY,orbit_cme_seed
Skeletal Survey Complete,77075,0.54,BONE SURVEY,orbit_cme_seed
Skeletal Survey Infant,77076,0.68,BONE SURVEY,orbit_cme_seed
Joint Survey Single View,77077,0.32,BONE SURVEY,orbit_cme_seed
Bone Length Study,77073,0.25,BONE STUDY,orbit_cme_seed
MRI Bone Marrow Blood Supply,77084,1.56,BONE STUDY,orbit_cme_seed
CT Bone Density Axial,77078,0.24,BONE DENSITY,orbit_cme_seed
Bone Marrow Scan Limited,78102,0.54,BONE MARROW,orbit_cme_seed
Bone Marrow Scan Multiple Areas,78103,0.73,BONE MARROW,orbit_cme_seed
Arthrogram Shoulder,73040,0.53,ARTHROGRAPHY,orbit_cme_seed
Arthrogram Elbow,73085,0.53,ARTHROGRAPHY,orbit_cme_seed
Arthrogram Wrist,73115,0.53,ARTHROGRAPHY,orbit_cme_seed
Arthrogram Hip,73525,0.53,ARTHROGRAPHY,orbit_cme_seed
Arthrogram Knee,73580,0.58,ARTHROGRAPHY,orbit_cme_seed
Arthrogram Ankle,73615,0.53,ARTHROGRAPHY,orbit_cme_seed
Arthrogram TMJ,70332,0.53,ARTHROGRAPHY,orbit_cme_seed
MRI TMJ,70336,1.44,TMJ,orbit_cme_seed
Arch Aortogram (Thoracic Aorta Cath),36221,3.82,DIAGNOSTIC ANGIOGRAPHY,orbit_cme_seed
Carotid/Innominate Cath Unilateral,36222,5.15,DIAGNOSTIC ANGIOGRAPHY,orbit_cme_seed
Carotid/Innominate Cath Selective,36223,5.61,DIAGNOSTIC ANGIOGRAPHY,orbit_cme_seed
Internal Carotid Cath Selective,36224,6.09,DIAGNOSTIC ANGIOGRAPHY,orbit_cme_seed
Subclavian Artery Cath,36225,5.61,DIAGNOSTIC ANGIOGRAPHY,orbit_cme_seed
Vertebral Artery Cath Selective,36226,6.09,DIAGNOSTIC ANGIOGRAPHY,orbit_cme_seed
External Carotid Cath Addl,36227,2.04,DIAGNOSTIC ANGIOGRAPHY,orbit_cme_seed
Intracranial Cath Superselective Addl,36228,4.14,DIAGNOSTIC ANGIOGRAPHY,orbit_cme_seed
Carotid Stent Retrograde,37217,19.87,CAROTID STENTING,orbit_cme_seed
Carotid Stent Antegrade,37218,14.38,CAROTID STENTING,orbit_cme_seed
Image-Guided Peritoneal Catheter Insertion,49405,3.78,DRAINAGE/ACCESS,orbit_cme_seed
Image-Guided Peritoneal Catheter Exchange,49406,2.70,DRAINAGE/ACCESS,orbit_cme_seed
Image-Guided Peritoneal Catheter Removal via Snare,49407,4.07,DRAINAGE/ACCESS,orbit_cme_seed
Image-Guided Abdominal Drain Insert (Percutaneous),49418,3.42,DRAINAGE/ACCESS,orbit_cme_seed
FNA Biopsy w/ US Guidance 1st Lesion,10005,1.80,BIOPSY,orbit_cme_seed
FNA Biopsy w/ US Guidance Each Addl,10006,1.00,BIOPSY,orbit_cme_seed
FNA Biopsy w/ Fluoro Guidance 1st Lesion,10007,1.80,BIOPSY,orbit_cme_seed
FNA Biopsy w/ Fluoro Guidance Each Addl,10008,1.00,BIOPSY,orbit_cme_seed
FNA Biopsy w/ CT Guidance 1st Lesion,10009,2.05,BIOPSY,orbit_cme_seed
FNA Biopsy w/ CT Guidance Each Addl,10010,1.22,BIOPSY,orbit_cme_seed
FNA Biopsy w/ MRI Guidance 1st Lesion,10011,2.44,BIOPSY,orbit_cme_seed
FNA Biopsy w/ MRI Guidance Each Addl,10012,1.22,BIOPSY,orbit_cme_seed
FNA Biopsy w/o Imaging 1st Lesion,10021,1.20,BIOPSY,orbit_cme_seed
FNA Biopsy w/o Imaging Each Addl,10004,0.60,BIOPSY,orbit_cme_seed
Breast Biopsy w/ Stereotactic 1st,19081,3.18,BREAST INTERVENTION,orbit_cme_seed
Breast Biopsy w/ Stereotactic Addl,19082,2.67,BREAST INTERVENTION,orbit_cme_seed
Breast Biopsy w/ US Guidance 1st,19083,2.14,BREAST INTERVENTION,orbit_cme_seed
Breast Biopsy w/ US Guidance Addl,19084,1.63,BREAST INTERVENTION,orbit_cme_seed
Breast Biopsy w/ MRI Guidance 1st,19085,4.49,BREAST INTERVENTION,orbit_cme_seed
Breast Biopsy w/ MRI Guidance Addl,19086,3.98,BREAST INTERVENTION,orbit_cme_seed
Breast Localization Percutaneous 1st,19281,1.73,BREAST INTERVENTION,orbit_cme_seed
Breast Localization Percutaneous Addl,19282,1.32,BREAST INTERVENTION,orbit_cme_seed
Breast Localization w/ Stereotactic 1st,19283,2.19,BREAST INTERVENTION,orbit_cme_seed
Breast Localization w/ Stereotactic Addl,19284,1.68,BREAST INTERVENTION,orbit_cme_seed
Breast Localization w/ US Guidance 1st,19285,1.73,BREAST INTERVENTION,orbit_cme_seed
Breast Localization w/ US Guidance Addl,19286,1.32,BREAST INTERVENTION,orbit_cme_seed
Breast Localization w/ MRI Guidance 1st,19287,3.64,BREAST INTERVENTION,orbit_cme_seed
Breast Localization w/ MRI Guidance Addl,19288,3.13,BREAST INTERVENTION,orbit_cme_seed
Breast Intact Specimen Tomo Image,19296,0.28,BREAST INTERVENTION,orbit_cme_seed
Breast Intact Specimen Digital Image,19297,0.20,BREAST INTERVENTION,orbit_cme_seed
Aspiration of Abscess/Cyst Simple,10160,1.22,ASPIRATION/DRAINAGE,orbit_cme_seed
Image-Guided Fluid Collection Drain,10030,2.78,ASPIRATION/DRAINAGE,orbit_cme_seed
Percutaneous Transhepatic Biliary Stent,75970,1.51,BILIARY,orbit_cme_seed
Cholecystostomy Percutaneous,47490,7.06,BILIARY,orbit_cme_seed
Percutaneous Transhepatic Cholangiogram,47531,2.89,BILIARY,orbit_cme_seed
Percutaneous Biliary Catheter Placement,47532,7.74,BILIARY,orbit_cme_seed
Percutaneous Biliary Catheter Placement w/ Internal-External,47533,8.97,BILIARY,orbit_cme_seed
Percutaneous External Biliary Drain,47534,6.53,BILIARY,orbit_cme_seed
Percutaneous Biliary Catheter Conversion,47535,5.36,BILIARY,orbit_cme_seed
Percutaneous Biliary Catheter Exchange,47536,2.89,BILIARY,orbit_cme_seed
Percutaneous Biliary Stent Removal/Replace,47537,5.73,BILIARY,orbit_cme_seed
Percutaneous Biliary Balloon Dilation,47538,3.88,BILIARY,orbit_cme_seed
Percutaneous Biliary Lithotripsy,47539,4.25,BILIARY,orbit_cme_seed
Percutaneous Biliary Biopsy,47540,3.88,BILIARY,orbit_cme_seed
Percutaneous Biliary Placement Stent,47541,7.74,BILIARY,orbit_cme_seed
Percutaneous Biliary Dilation w/ Stent,47542,5.36,BILIARY,orbit_cme_seed
Percutaneous Biliary Endoscopy,47543,5.36,BILIARY,orbit_cme_seed
Percutaneous Biliary Removal of Calculus,47544,4.98,BILIARY,orbit_cme_seed
Nephrostomy Tube Removal w/ Placement,50382,5.81,RENAL/GU,orbit_cme_seed
Nephrostomy Tube Removal w/ Ureteral Stent,50384,7.12,RENAL/GU,orbit_cme_seed
Nephrostomy Tube Conversion to Nephroureteral,50385,6.15,RENAL/GU,orbit_cme_seed
Nephrostomy Tube Conversion w/ Ureteral Stent,50386,7.12,RENAL/GU,orbit_cme_seed
Nephrostomy Tube Removal w/ Balloon Dilation,50387,6.68,RENAL/GU,orbit_cme_seed
Nephrostomy Tube Removal Only (Simple),50389,1.22,RENAL/GU,orbit_cme_seed
Percutaneous Renal Cyst Aspiration,50390,2.55,RENAL/GU,orbit_cme_seed
Percutaneous Nephrostomy Catheter Insert,50392,5.33,RENAL/GU,orbit_cme_seed
Percutaneous Nephrostomy w/ Ureteral Catheter,50393,7.21,RENAL/GU,orbit_cme_seed
Percutaneous Nephrostomy Tube Injection,50394,1.10,RENAL/GU,orbit_cme_seed
Percutaneous Nephrostomy w/ Balloon Dilation,50395,6.73,RENAL/GU,orbit_cme_seed
Percutaneous Mantle Catheter,50396,4.98,RENAL/GU,orbit_cme_seed
Percutaneous Nephrostomy Tube Exchange,50430,2.89,RENAL/GU,orbit_cme_seed
Percutaneous Nephrostomy Tube Exchange w/ Ureteral Catheter,50431,3.84,RENAL/GU,orbit_cme_seed
Percutaneous Nephrostomy (New Access),50432,5.50,RENAL/GU,orbit_cme_seed
Percutaneous Nephropyelostomy (New Access),50433,6.43,RENAL/GU,orbit_cme_seed
Percutaneous Renal Stent via Nephrostomy,50434,4.31,RENAL/GU,orbit_cme_seed
Percutaneous Nephrolithotomy Access,50435,8.78,RENAL/GU,orbit_cme_seed
Percutaneous Nephrolithotomy Dilation,50436,3.50,RENAL/GU,orbit_cme_seed
Percutaneous Nephrolithotomy Balloon Dilation,50437,4.50,RENAL/GU,orbit_cme_seed
Percutaneous Renal Endoscopy,50606,3.00,RENAL/GU,orbit_cme_seed
Percutaneous Ureteral Stent Placement,50693,5.89,RENAL/GU,orbit_cme_seed
Percutaneous Ureteral Stent Placement w/ Dilation,50694,6.80,RENAL/GU,orbit_cme_seed
Percutaneous Ureteral Stent Placement Bilateral,50695,8.44,RENAL/GU,orbit_cme_seed
Sacroiliac Joint Injection w/ Fluoro,27096,1.44,MSK INTERVENTION,orbit_cme_seed
Lumbar Puncture Diagnostic,62270,1.44,MSK INTERVENTION,orbit_cme_seed
Lumbar Drain CSF,62272,1.71,MSK INTERVENTION,orbit_cme_seed
Nerve Block Sciatic w/ Image Guidance,64451,1.27,MSK INTERVENTION,orbit_cme_seed
Nerve Block Genicular w/ Image Guidance,64454,1.42,MSK INTERVENTION,orbit_cme_seed
RF Ablation Genicular Nerves,64624,2.73,MSK INTERVENTION,orbit_cme_seed
RF Ablation Genicular Nerves Additional,64625,1.37,MSK INTERVENTION,orbit_cme_seed
