study_name,cpt,wrvu,category,source
CT T-Spine w/o Contrast,72128,0.98,SPINE,orbit_cme_seed
CT T-Spine w/ Contrast,72129,1.19,SPINE,orbit_cme_seed
CT T-Spine w/o & w/ Contrast,72130,1.24,SPINE,orbit_cme_seed
CT L-Spine w/o Contrast,72131,0.98,SPINE,orbit_cme_seed
CT L-Spine w/ Contrast,72132,1.19,SPINE,orbit_cme_seed
CT L-Spine w/o & w/ Contrast,72133,1.24,SPINE,orbit_cme_seed
CT Abdomen w/o Contrast,74150,1.16,ABDOMEN/PELVIS,orbit_cme_seed
CT Abdomen w/ Contrast,74160,1.24,ABDOMEN/PELVIS,orbit_cme_seed
CT Abdomen w/o & w/ Contrast,74170,1.37,ABDOMEN/PELVIS,orbit_cme_seed
CT Abdomen & Pelvis w/o Contrast,74176,1.70,ABDOMEN/PELVIS,orbit_cme_seed
CT Abdomen & Pelvis w/ Contrast,74177,1.77,ABDOMEN/PELVIS,orbit_cme_seed
CT Abdomen & Pelvis w/o & w/ Contrast,74178,1.96,ABDOMEN/PELVIS,orbit_cme_seed
CT Pelvis w/o Contrast,72192,1.06,ABDOMEN/PELVIS,orbit_cme_seed
CT Pelvis w/ Contrast,72193,1.13,ABDOMEN/PELVIS,orbit_cme_seed
CT Pelvis w/o & w/ Contrast,72194,1.19,ABDOMEN/PELVIS,orbit_cme_seed
CT Colonography Diagnostic,74261,2.34,ABDOMEN/PELVIS,orbit_cme_seed
CT Colonography Screening,74263,2.22,ABDOMEN/PELVIS,orbit_cme_seed
CT Upper Extremity w/o Contrast,73200,0.98,EXTREMITY,orbit_cme_seed
CT Upper Extremity w/ Contrast,73201,1.13,EXTREMITY,orbit_cme_seed
CT Upper Extremity w/o & w/ Contrast,73202,1.19,EXTREMITY,orbit_cme_seed
CT Lower Extremity w/o Contrast,73700,0.98,EXTREMITY,orbit_cme_seed
CT Lower Extremity w/ Contrast,73701,1.13,EXTREMITY,orbit_cme_seed
CT Lower Extremity w/o & w/ Contrast,73702,1.19,EXTREMITY,orbit_cme_seed
CT Calcium Score,75571,0.57,CARDIAC,orbit_cme_seed
CT Heart w/ 3D,75572,1.71,CARDIAC,orbit_cme_seed
CT Heart w/ 3D + Congenital,75573,2.49,CARDIAC,orbit_cme_seed
MRI Brain w/o Contrast,70551,1.44,BRAIN,orbit_cme_seed
MRI Brain w/ Contrast,70552,1.74,BRAIN,orbit_cme_seed
MRI Brain w/o & w/ Contrast,70553,2.23,BRAIN,orbit_cme_seed
MRI Brain Functional (fMRI),70554,2.06,BRAIN,orbit_cme_seed
MRI Brain Functional w/ Physician,70555,2.48,BRAIN,orbit_cme_seed
MRI Brain Epilepsy w/o,70557,2.83,BRAIN,orbit_cme_seed
MRI Brain Epilepsy w/,70558,3.12,BRAIN,orbit_cme_seed
MRI Brain Epilepsy w/o & w/,70559,3.12,BRAIN,orbit_cme_seed
MRI IACs/Orbits/Face/Neck w/o Contrast,70540,1.32,HEAD/NECK,orbit_cme_seed
MRI IACs/Orbits/Face/Neck w/ Contrast,70542,1.58,HEAD/NECK,orbit_cme_seed
MRI IACs/Orbits/Face/Neck w/o & w/ Contrast,70543,2.10,HEAD/NECK,orbit_cme_seed
MRA Head w/o Contrast,70544,1.17,MRA,orbit_cme_seed
MRA Head w/ Contrast,70545,1.17,MRA,orbit_cme_seed
MRA Head w/o & w/ Contrast,70546,1.44,MRA,orbit_cme_seed
MRA Neck w/o Contrast,70547,1.17,MRA,orbit_cme_seed
MRA Neck w/ Contrast,70548,1.46,MRA,orbit_cme_seed
MRA Neck w/o & w/ Contrast,70549,1.76,MRA,orbit_cme_seed
MRA Chest,71555,1.76,MRA,orbit_cme_seed
MRA Abdomen,74185,1.76,MRA,orbit_cme_seed
MRA Pelvis,72198,1.76,MRA,orbit_cme_seed
MRA Upper Extremity,73225,1.69,MRA,orbit_cme_seed
MRA Lower Extremity,73725,1.77,MRA,orbit_cme_seed
MRI C-Spine w/o Contrast,72141,1.44,SPINE,orbit_cme_seed
MRI C-Spine w/ Contrast,72142,1.74,SPINE,orbit_cme_seed
MRI C-Spine w/o & w/ Contrast,72156,2.23,SPINE,orbit_cme_seed
MRI T-Spine w/o Contrast,72146,1.44,SPINE,orbit_cme_seed
MRI T-Spine w/ Contrast,72147,1.74,SPINE,orbit_cme_seed
MRI T-Spine w/o & w/ Contrast,72157,2.23,SPINE,orbit_cme_seed
MRI L-Spine w/o Contrast,72148,1.44,SPINE,orbit_cme_seed
MRI L-Spine w/ Contrast,72149,1.74,SPINE,orbit_cme_seed
MRI L-Spine w/o & w/ Contrast,72158,2.23,SPINE,orbit_cme_seed
MRI Chest w/o Contrast,71550,1.42,CHEST,orbit_cme_seed
MRI Chest w/ Contrast,71551,1.69,CHEST,orbit_cme_seed
MRI Chest w/o & w/ Contrast,71552,2.20,CHEST,orbit_cme_seed
MRI Abdomen w/o Contrast,74181,1.42,ABDOMEN/PELVIS,orbit_cme_seed
MRI Abdomen w/ Contrast,74182,1.69,ABDOMEN/PELVIS,orbit_cme_seed
MRI Abdomen w/o & w/ Contrast,74183,2.15,ABDOMEN/PELVIS,orbit_cme_seed
MRI Pelvis w/o Contrast,72195,1.42,ABDOMEN/PELVIS,orbit_cme_seed
MRI Pelvis w/ Contrast,72196,1.69,ABDOMEN/PELVIS,orbit_cme_seed
MRI Pelvis w/o & w/ Contrast,72197,2.15,ABDOMEN/PELVIS,orbit_cme_seed
MRI Fetal Single Gestation,74712,2.93,ABDOMEN/PELVIS,orbit_cme_seed
MRI Fetal Follow-Up,74713,1.80,ABDOMEN/PELVIS,orbit_cme_seed
MRI Shoulder w/o Contrast,73221,1.32,MSK,orbit_cme_seed
MRI Shoulder w/ Contrast,73222,1.58,MSK,orbit_cme_seed
MRI Shoulder w/o & w/ Contrast,73223,2.10,MSK,orbit_cme_seed
MRI Upper Extremity w/o Contrast,73218,1.32,MSK,orbit_cme_seed
MRI Upper Extremity w/ Contrast,73219,1.58,MSK,orbit_cme_seed
MRI Upper Extremity w/o & w/ Contrast,73220,2.10,MSK,orbit_cme_seed
MRI Knee w/o Contrast,73721,1.32,MSK,orbit_cme_seed
MRI Knee w/ Contrast,73722,1.58,MSK,orbit_cme_seed
MRI Knee w/o & w/ Contrast,73723,2.10,MSK,orbit_cme_seed
MRI Lower Extremity w/o Contrast,73718,1.32,MSK,orbit_cme_seed
MRI Lower Extremity w/ Contrast,73719,1.58,MSK,orbit_cme_seed
MRI Lower Extremity w/o & w/ Contrast,73720,2.10,MSK,orbit_cme_seed
MRI Breast Unilateral w/o Contrast,77046,1.41,BREAST,orbit_cme_seed
MRI Breast Bilateral w/o Contrast,77047,1.56,BREAST,orbit_cme_seed
MRI Breast Unilateral w/o & w/ Contrast,77048,2.05,BREAST,orbit_cme_seed
MRI Breast Bilateral w/o & w/ Contrast,77049,2.24,BREAST,orbit_cme_seed
Cardiac MRI Morphology (w/o Contrast),75557,2.29,CARDIAC,orbit_cme_seed
Cardiac MRI w/ Stress,75559,2.88,CARDIAC,orbit_cme_seed
Cardiac MRI w/ Contrast (Comprehensive),75561,2.54,CARDIAC,orbit_cme_seed
Cardiac MRI Stress w/ Contrast,75563,2.93,CARDIAC,orbit_cme_seed
US Abdomen Complete,76700,0.79,ABDOMEN,orbit_cme_seed
US Abdomen Limited,76705,0.58,ABDOMEN,orbit_cme_seed
US AAA Screening,76706,0.54,ABDOMEN,orbit_cme_seed
US Renal Complete,76770,0.72,ABDOMEN,orbit_cme_seed
US Renal Limited,76775,0.57,ABDOMEN,orbit_cme_seed
US Renal Transplant w/ Doppler,76776,0.74,ABDOMEN,orbit_cme_seed
US Elastography Parenchyma,76981,0.58,ABDOMEN,orbit_cme_seed
US Elastography Lesion,76982,0.58,ABDOMEN,orbit_cme_seed
US Pelvis Complete,76856,0.67,PELVIS,orbit_cme_seed
US Pelvis Limited,76857,0.49,PELVIS,orbit_cme_seed
US Transvaginal Non-OB,76830,0.67,PELVIS,orbit_cme_seed
US Sonohysterography,76831,0.70,PELVIS,orbit_cme_seed
US Scrotum,76870,0.62,PELVIS,orbit_cme_seed
US Transrectal,76872,0.65,PELVIS,orbit_cme_seed
US Transrectal Prostate Volume,76873,1.51,PELVIS,orbit_cme_seed
