"friendly_exam_name","normalized_exam_name","cpt_codes","primary_cpt_code","modifier","modifier_26_wrvu","modality","body_region","contrast_status","cms_official_description","common_aliases","powerscribe_aliases","hospital_site_aliases","typical_combinations","active","created_at","updated_at"
"Dialysis Circuit Catheterization","DIALYSIS CIRCUIT CATHETERIZATION","[""36901-26""]","36901","26","3.28","PROCEDURE","Dialysis","not_applicable","","[""Dialysis Circuit Catheterization"",""DIALYSIS CIRCUIT CATHETERIZATION""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Dialysis Circuit w/ Angioplasty","DIALYSIS CIRCUIT W ANGIOPLASTY","[""36902-26""]","36902","26","4.71","PROCEDURE","Abdomen","with","","[""Dialysis Circuit w/ Angioplasty"",""DIALYSIS CIRCUIT W ANGIOPLASTY""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Dialysis Circuit w/ Stent","DIALYSIS CIRCUIT W STENT","[""36903-26""]","36903","26","6.23","PROCEDURE","Dialysis","with","","[""Dialysis Circuit w/ Stent"",""DIALYSIS CIRCUIT W STENT""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Dialysis Circuit Thrombectomy","DIALYSIS CIRCUIT THROMBECTOMY","[""36904-26""]","36904","26","7.31","PROCEDURE","Dialysis","not_applicable","","[""Dialysis Circuit Thrombectomy"",""DIALYSIS CIRCUIT THROMBECTOMY""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Dialysis Circuit Thrombectomy w/ Angioplasty","DIALYSIS CIRCUIT THROMBECTOMY W ANGIOPLASTY","[""36905-26""]","36905","26","8.78","PROCEDURE","Abdomen","with","","[""Dialysis Circuit Thrombectomy w/ Angioplasty"",""DIALYSIS CIRCUIT THROMBECTOMY W ANGIOPLASTY""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Dialysis Circuit Thrombectomy w/ Stent","DIALYSIS CIRCUIT THROMBECTOMY W STENT","[""36906-26""]","36906","26","10.16","PROCEDURE","Dialysis","with","","[""Dialysis Circuit Thrombectomy w/ Stent"",""DIALYSIS CIRCUIT THROMBECTOMY W STENT""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"TIPS Creation","TIPS CREATION","[""37182-26""]","37182","26","16.55","PROCEDURE","TIPS","not_applicable","","[""TIPS Creation"",""TIPS CREATION""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"TIPS Revision","TIPS REVISION","[""37183-26""]","37183","26","7.55","PROCEDURE","TIPS","not_applicable","","[""TIPS Revision"",""TIPS REVISION""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"TTE Congenital Complete","TTE CONGENITAL COMPLETE","[""93303-26""]","93303","26","1.27","OTHER","Chest","not_applicable","","[""TTE Congenital Complete"",""TTE CONGENITAL COMPLETE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"TTE Congenital Follow-Up","TTE CONGENITAL FOLLOW UP","[""93304-26""]","93304","26","0.73","OTHER","Chest","not_applicable","","[""TTE Congenital Follow-Up"",""TTE CONGENITAL FOLLOW UP""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
